City,Attack,Target
Santo Domingo,1,14
Mexico city,6,7
Tarlac,1,10
Athens,3,7
Fukouka,7,7
Cairo,2,3
Montevideo,1,3
Oakland,3,21
Madison,7,4
Madison,7,2
Baraboo,3,4
Denver,7,4
Rome,4,6
Detroit,7,2
Rio Piedras,7,1
East Berlin,3,2
Unknown,9,4
New York City,3,8
Rio Grande,3,1
Seattle,7,1
Champaign,7,3
Montevideo,2,8
Seattle,3,8
Seattle,3,4
Jersey City,7,22
Guatemala City,1,7
Quezon City,3,7
Caracas,6,1
South Sioux City,3,14
West Point,7,14
New York City,2,3
West Point,3,2
New York City,2,3
Norwalk,7,2
East Berlin,7,3
Seattle,3,15
South Sioux City,3,20
South Sioux City,3,1
Coral Gables,7,4
Bamban Tarnac,9,4
Denver,3,3
Portland,7,2
Cairo,2,3
New York City,7,1
New York City,7,1
New York City,7,1
Akron,3,14
Denver,3,19
Seattle,3,2
Seattle,3,15
Dorado,7,2
Rio Piedras,7,21
Carolina,7,1
Boston,7,4
Philadelphia,7,2
Washington,7,1
Whitewater,7,8
New York City,3,1
New York City,3,1
New York City,3,1
Batavia,3,14
Munich,2,6
Ypsilanti,7,8
Berkeley,3,3
Munich,7,13
Berkeley,3,3
New York City,3,1
Eugene,7,4
San Francisco,3,3
Berkeley,3,1
Berkeley,3,1
San Francisco,2,3
Oakland,3,1
Buckeystown,3,21
Covington,3,8
Seattle,3,4
Cleveland,3,3
Vallejo,3,3
Hartford,7,2
New York City,7,8
Seattle,3,8
Frankfurt,3,6
Zurich,3,6
New York City,7,3
New York City,7,4
New York City,3,14
Denver,7,14
Ithaca,7,13
Prairie du Sac,3,21
South Sioux City,3,21
South Sioux City,3,21
South Sioux City,3,21
South Sioux City,3,21
Tucson,3,4
Denver,3,14
Champaign,7,4
Boulder,3,8
Hebron,2,18
Manila,3,7
Rome,3,6
St. Paul,7,2
St. Paul,7,2
Minneapolis,7,2
Boulder,3,4
Colorado Springs,7,4
Boulder,7,3
Boulder,3,3
Cleveland,7,14
Unknown,6,2
Denver,3,14
Seattle,3,2
Oakland,3,4
Martinez,3,19
Denver,3,14
Seattle,3,2
Denver,3,14
San Juan,1,4
Guatemala City,6,7
Detroit,3,3
Detroit,3,3
Berkeley,7,8
Ashville,7,14
Bridgeport,7,15
Albuquerque,3,4
Bel Air,3,20
Munich,3,2
Cambridge,3,2
San Francisco,7,1
Sao Paulo,6,7
Urbana,7,4
