Country,City,Injuries,Fatalities
United States,Washington D.C.,115,194
United States,Miami,2,5
United States,New York City,3469,2776
United States,Key West,0,0
United States,Tampa,0,0
United States,Galveston,0,0
United States,Chicago,12,0
United States,Los Angeles,8,7
United States,New Orleans,0,0
United States,Oakland,0,0
United States,Glen Cove,0,0
United States,Hoboken,0,0
United States,San Francisco,9,1
United States,Key Biscayne,0,0
United States,San Diego,0,0
United States,Long Island,0,0
United States,Seattle,5,1
United States,Queens,0,0
United States,Santa Barbara,0,2
United States,Union City,0,1
United States,Coral Gables,0,0
United States,Elizabeth,0,0
United States,Santa Monica,0,0
United States,Boston,1,0
United States,Fort Lauderdale,0,0
United States,Hialeah,0,0
United States,Port Elizabeth,0,0
United States,Pittsburgh,0,0
United States,Rockville,0,0
United States,Glendale,0,1
United States,Weehawken,0,0
United States,Bethesda,0,1
United States,Minneapolis,0,0
United States,Baltimore,0,0
United States,Alhambra,0,0
United States,Torrance,0,1
United States,Berkeley,2,0
United States,Hollywood,0,0
United States,Anaheim,0,0
United States,Ogden,0,1
United States,Albany,0,0
United States,Cambridge,0,0
United States,Sumerville,0,1
United States,Philadelphia,0,0
United States,Portland,0,0
United States,Detroit,1,3
United States,Garden Grove,0,1
United States,Richmond,0,0
United States,Dearborn,1,0
United States,Fresno,1,0
United States,Falls Church Virginia,0,2
United States,Langley,3,2
United States,Oklahoma City,500,168
United States,Atlanta,116,1
United States,Leavenworth,0,0
United States,Sandy Springs,6,0
United States,Jacksonville,0,0
United States,Birmingham,2,2
United States,Pacific Beach,0,0
United States,Fargo,1,0
United States,Vail,0,0
United States,Medford,0,0
United States,Eugene,0,0
United States,Granada Hills,5,1
United States,Monmouth,0,0
United States,East Lansing,0,0
United States,Bloomington,0,0
United States,Viroqua,0,0
United States,Ellettsville,0,0
United States,North Vernon,0,0
United States,Niwot,0,0
United States,Middle Island,0,0
United States,Miller Place,0,0
United States,Mount Sinai,0,0
United States,Scottsdale,0,0
United States,Visalia,0,0
United States,Astoria,0,0
United States,Albertville,0,0
United States,Clatskanie,0,0
United States,Estacada,0,0
United States,Tacoma,0,0
United States,Tucson,0,0
United States,Roseville,0,0
United States,Umatilla,0,0
United States,Shanksville,0,44
United States,Boca Raton,5,1
United States,"Grangeville,  Idaho",0,0
United States,"Houghton,  Michigan",0,0
United States,Oxford,0,1
United States,St. Paul,0,0
United States,Erie,0,0
United States,De Kalb,0,0
United States,Irvine,0,0
United States,Girard,0,0
United States,Chico,0,0
United States,Albuquerque,0,0
United States,Montgomery,0,0
United States,Santa Cruz,1,0
United States,University City,0,0
United States,West Covina,0,0
United States,Emeryville,0,0
United States,Houston,0,0
United States,Martiny,0,0
United States,Shaklee,0,0
United States,Greenville,0,0
United States,Charlottesville,0,0
United States,Snohomish,0,0
United States,West Jordan,0,0
United States,Bellingham,0,0
United States,Provo,0,0
United States,Lincoln,0,0
United States,Auburn,0,0
United States,Sutter Creek,0,0
United States,Redmond,0,0
United States,Sammamish,0,0
United States,West Old Town,0,0
United States,Hagerstown,0,0
United States,Austin,0,0
United States,Laguna Woods,0,0
United States,Wichita,0,1
United States,Little Rock,1,1
United States,Snohomish County,0,0
United States,Ft. Hood,30,13
